Text,Min,Players,Best,,
Brass: Birmingham (8.40),2, 4,"3, 4",,
Ark Nova (8.34),1, 4,2,,
Twilight Imperium: Fourth Edition (8.23),3, 6,6,,
Dune: Imperium (8.23),1, 4,"3, 4",,
Terraforming Mars (8.20),1, 5,3,,
War of the Ring: Second Edition (8.19),2, 4,2,,
Star Wars: Rebellion (8.17),2, 4,2,,
Gaia Project (8.10),1, 4,"3, 4",,
Dune: Imperium – Uprising (8.07),1, 6,4,,
Twilight Struggle (8.06),2,2,2,,
The Castles of Burgundy (8.02),2, 4,2,,
Great Western Trail (8.00),2, 4,3,,
Scythe (7.97),1, 5,4,,
Eclipse: Second Dawn for the Galaxy (7.97),2, 6,"4, 6",,
7 Wonders Duel (7.97),2,2,2,,
Brass: Lancashire (7.96),2, 4,4,,
Concordia (7.93),2, 5,4,,
Great Western Trail: Second Edition (7.91),1, 4,3,,
Arkham Horror: The Card Game (7.90),1, 2,2,,
Lost Ruins of Arnak (7.90),1, 4,3,,
Root (7.89),2, 4,4,,
Wingspan (7.87),1, 5,3,,
Orléans (7.86),2, 5,4,,
Everdell (7.83),1, 4,3,,
Viticulture Essential Edition (7.83),1, 6,"3, 4",,
Heat: Pedal to the Metal (7.80),1, 6,"5, 6",,
Crokinole (7.78),2, 4,"2, 4",,
Pax Pamir: Second Edition (7.78),1, 5,4,,
Kanban EV (7.78),1, 4,3,,
Underwater Cities (7.78),1, 4,2,,
Puerto Rico (7.77),3, 5,4,,
Cascadia (7.75),1, 4,"2, 3",,
Cthulhu: Death May Die (7.75),1, 5,3,,
On Mars (7.74),1, 4,3,,
Blood Rage (7.74),2, 4,4,,
Agricola (7.74),1, 5,"3, 4",,
Lisboa (7.71),1, 4,3,,
Grand Austria Hotel (7.70),2, 4,2,,
Mansions of Madness: Second Edition (7.70),1, 5,"3, 4",,
The Quacks of Quedlinburg (7.67),2, 4,4,,
Maracaibo (7.67),1, 4,3,,
The Gallerist (7.67),1, 4,"3, 4",,
Star Wars: Imperial Assault (7.66),2, 5,"2, 5",,
Android: Netrunner (7.66),2,2,2,,
Clank!: Catacombs (7.65),2, 4,3,,
The Crew: The Quest for Planet Nine (7.64),2, 5,4,,
Azul (7.62),2, 4,2,,
Clank!: A Deck-Building Adventure (7.61),2, 4,"3, 4",,
The White Castle (7.59),1, 4,3,,
Darwin's Journey (7.59),1, 4,3,,
El Grande (7.59),2, 5,5,,
Beyond the Sun (7.58),2, 4,3,,
Wingspan Asia (7.57),1, 2,2,,
SCOUT (7.57),2, 5,4,,
The Search for Planet X (7.56),1, 4,"2, 3",,
