title,min_players,max_players,recommended_players
Marrying Mr. Darcy (6.40),2,6,"4,5"
Hellboy: The Board Game (7.75),1,4,4
Big Trouble in Little China: The Game (7.66),1,4,"2,3,4"
Doomlings (6.81),2,6,4
Doomlings Blackbox Bundle (7.20),2,6,
Doomlings: Deluxe Bundle (7.79),2,6,4
Dead of Winter: A Crossroads Game (7.45),2,5,4
Dead of Winter: Tabletop Edition (7.87),2,5,"4,5"
Dead of Winter: The Battle of Stones River (Second Edition) (7.33),2,2,2
"Dead of Winter: The Battle of Stones River – Murfreesboro, Tennessee (6.90)",2,2,2
Dead of Winter: The Long Night (7.52),2,5,4
An Evening of Murder: Dead of Winter (4.00),8,8,
Flick 'em Up!: Dead of Winter (6.62),1,10,"2,3,4"
Robo Rally: 30th Anniversary (8.34),2,8,"5,6"
